,Date,PolygonId,Species
0,2000-1-1,283,Hasora badra
1,2000-1-1,325,Cheilomenes sexmaculata+Coccinella septempunctata+Vespa affinis
2,2000-1-1,326,Coccinella transversalis+Eurema hecabe+Melanitis leda+Melanitis phedima polishana
3,2000-1-1,409,Eurema blanda arsakia+Harmonia dimidiata+Melanitis leda+Melanitis phedima polishana+Neptis sappho formosana
4,2000-1-1,414,Biston robustum+Genus Calliteara+Tristeirometa decussata moltrechti
5,2000-1-1,538,Orthetrum pruinosum
6,2000-1-1,539,Ceriagrion auranticum
7,2000-1-1,695,Paragona dubia
8,2000-1-1,950,Loxaspilates montuosa+Parabapta unifasciata+Subleuconycta calonesiota
9,2000-1-1,1236,Paragona dubia
10,2000-1-1,1406,Appias indra+Byasa polyeuctes+Celastrina lavendularis himilcon+Cyrestis thyodamas formosana+Elymnias hypermnestra hainana+Eurema alitha+Genus Limenitis+Genus Mycalesis+Genus Papilio+Heliophorus ila matsumurae+Hypolimnas bolina+Junonia lemonias aenaria+Lethe chandica+Papilio bianor thrasymedes+Papilio protenor+Pieris rapae crucivora+Tongeia hainani+Ypthima multistriata
11,2000-1-1,2192,Tylorida ventralis
12,2000-1-1,2620,Anoplophora macularia+Euphaea formosa+Graphium sarpedon+Hebomoia glaucippe+Hypolimnas bolina+Junonia lemonias aenaria+Matrona cyanoptera+Pachliopta aristolochiae+Parantica aglea maghaba+Timelaea albescens
13,2000-1-1,2829,Agathia lycaenaria+Antitrygodes divisaria+Arguda horishana+Ascotis selenaria imparata+Cleora fraterna+Ecliptopera rectilinea kanshinensis+Family Geometridae+Genus Maxates+Genus Pareclipsis+Genus Pelagodes+Genus Scopula+Herochroma cristata+Histia flabellicornis+Hypocometa clauda+Hyposidra infixaria+Lophophelma taiwana+Luxiaria costinota+Maxates versicauda+Ourapteryx changi+Ourapteryx clara+Paradoxopla sinuata+Paralebeda femorata+Percnia suffusa+Pingasa ruginaria+Thalassodes immissaria+Thosea sinensis+Timandra extremaria+Trabala vishnou
14,2000-1-1,2831,Achaea serva+Chrysodeixis eriosoma+Craniophora fasciata+Ericeia inangulata+Erygia apicalis+Family Erebidae+Family Noctuidae+Genus Westermannia+Hypospila bolinoides+Paragona dubia+Plusiopalpa adrasta+Serrodes campana+Tycracona obliqua
15,2000-1-1,2872,Amata perixanthia+Antitrygodes divisaria+Arna bipunctapex+Calliteara saitonis+Comibaena procumbaria+Dudusa nobilis+Ernolatia moorei+Euproctis inornata+Euproctis kanshireia+Family Geometridae+Genus Maxates+Ilema kosemponica+Lymantria mathura subpallida+Macaria abydata+Narosa nigrisigna+Olene dudgeoni+Ozola defectata+Thalassodes immissaria
16,2000-4-1,113,Anomala expansa+Cerogria chinensis
17,2000-4-1,116,Family Gomphidae
18,2000-4-1,117,Anax guttatus
19,2000-4-1,200,Chlorogomphus risi+Leptogomphus sauteri+Orthetrum triangulare
20,2000-4-1,243,Asiagomphus hainanensis
21,2000-4-1,245,Ypthima multistriata
22,2000-4-1,274,Karana gemmifera
23,2000-4-1,282,Papilio thaiwanus
