id,Name,Kingdom,Class,Family,Taxa,Count
0,Family Geometridae,Animalia,Insecta,Geometridae,moth,28991
1,Family Erebidae,Animalia,Insecta,Erebidae,moth,20928
2,Family Crambidae,Animalia,Insecta,Crambidae,moth,13120
3,Family Noctuidae,Animalia,Insecta,Noctuidae,moth,5339
4,Family Tortricidae,Animalia,Insecta,Tortricidae,moth,4979
5,Asota heliconia,Animalia,Insecta,Erebidae,moth,4449
6,Family Pyralidae,Animalia,Insecta,Pyralidae,moth,3997
7,Chrysaeglia magnifica,Animalia,Insecta,Erebidae,moth,3600
8,Genus Hypena,Animalia,Insecta,Erebidae,moth,3217
9,Genus Euproctis,Animalia,Insecta,Erebidae,moth,2923
10,Trabala vishnou,Animalia,Insecta,Lasiocampidae,moth,2892
11,Genus Abraxas,Animalia,Insecta,Geometridae,moth,2813
12,Hyposidra talaca,Animalia,Insecta,Geometridae,moth,2798
13,Genus Scopula,Animalia,Insecta,Geometridae,moth,2761
14,Genus Ericeia,Animalia,Insecta,Erebidae,moth,2588
15,Family Limacodidae,Animalia,Insecta,Limacodidae,moth,2588
16,Cyana hamata,Animalia,Insecta,Erebidae,moth,2430
17,Orgyia postica,Animalia,Insecta,Erebidae,moth,2382
18,Alcis taiwanovariegata,Animalia,Insecta,Geometridae,moth,2329
19,Family Nolidae,Animalia,Insecta,Nolidae,moth,2312
20,Traminda aventiaria,Animalia,Insecta,Geometridae,moth,2306
21,Genus Cleora,Animalia,Insecta,Geometridae,moth,2240
22,Family Notodontidae,Animalia,Insecta,Notodontidae,moth,2225
23,Perina nuda,Animalia,Insecta,Erebidae,moth,2105
24,Olene dudgeoni,Animalia,Insecta,Erebidae,moth,2083
25,Genus Cirrhochrista,Animalia,Insecta,Crambidae,moth,2076
26,Creatonotos transiens,Animalia,Insecta,Erebidae,moth,2040
27,Family Sphingidae,Animalia,Insecta,Sphingidae,moth,1958
28,Eurema blanda arsakia,Animalia,Insecta,Pieridae,butterfly,1917
29,Tiracola aureata,Animalia,Insecta,Noctuidae,moth,1885
30,Genus Spilarctia,Animalia,Insecta,Erebidae,moth,1802
31,Genus Arctornis,Animalia,Insecta,Erebidae,moth,1799
32,Cleora fraterna,Animalia,Insecta,Geometridae,moth,1795
33,Asota plana,Animalia,Insecta,Erebidae,moth,1732
34,Spodoptera litura,Animalia,Insecta,Noctuidae,moth,1732
35,Somena scintillans,Animalia,Insecta,Erebidae,moth,1616
36,Lemyra imparilis,Animalia,Insecta,Erebidae,moth,1613
37,Eterusia aedea,Animalia,Insecta,Zygaenidae,moth,1596
38,Biston perclara,Animalia,Insecta,Geometridae,moth,1590
39,Pieris rapae crucivora,Animalia,Insecta,Pieridae,butterfly,1554
40,Neptis hylas luculenta,Animalia,Insecta,Nymphalidae,butterfly,1547
41,Genus Barsine,Animalia,Insecta,Erebidae,moth,1546
42,Papilio memnon heronus,Animalia,Insecta,Papilionidae,butterfly,1543
43,Catopsilia pomona,Animalia,Insecta,Pieridae,butterfly,1520
44,Milionia zonea,Animalia,Insecta,Geometridae,moth,1513
45,Cyrestis thyodamas formosana,Animalia,Insecta,Nymphalidae,butterfly,1510
46,Macrobrochis gigas,Animalia,Insecta,Erebidae,moth,1497
47,Ernolatia moorei,Animalia,Insecta,Bombycidae,moth,1487
48,Eumelea ludovicata,Animalia,Insecta,Geometridae,moth,1476
49,Elymnias hypermnestra hainana,Animalia,Insecta,Nymphalidae,butterfly,1474
50,Zizeeria maha okinawana,Animalia,Insecta,Lycaenidae,butterfly,1453
51,Nephila pilipes,Animalia,Arachnida,Nephilidae,spider,1453
52,Graphium sarpedon connectens,Animalia,Insecta,Papilionidae,butterfly,1436
53,Asota egens,Animalia,Insecta,Erebidae,moth,1424
54,Ectropis bhurmitra,Animalia,Insecta,Geometridae,moth,1420
55,Heliophorus ila matsumurae,Animalia,Insecta,Lycaenidae,butterfly,1412
56,Nyctemera adversata,Animalia,Insecta,Erebidae,moth,1393
57,Genus Timandra,Animalia,Insecta,Geometridae,moth,1378
58,Vespa velutina,Animalia,Insecta,Vespidae,other,1374
59,Family Salticidae,Animalia,Arachnida,Salticidae,spider,1367
60,Genus Calliteara,Animalia,Insecta,Erebidae,moth,1357
61,Pieris canidia,Animalia,Insecta,Pieridae,butterfly,1357
62,Genus Megaselia,Animalia,Insecta,Phoridae,other,1346
63,Chorodna creataria,Animalia,Insecta,Geometridae,moth,1346
64,Family Pterophoridae,Animalia,Insecta,Pterophoridae,moth,1337
65,Tanaoctenia haliaria,Animalia,Insecta,Geometridae,moth,1333
66,Genus Endotricha,Animalia,Insecta,Pyralidae,moth,1325
67,Pingasa ruginaria,Animalia,Insecta,Geometridae,moth,1315
68,Euploea mulciber barsine,Animalia,Insecta,Nymphalidae,butterfly,1313
69,Fascellina chromataria,Animalia,Insecta,Geometridae,moth,1299
70,Jamides alecto dromicus,Animalia,Insecta,Lycaenidae,butterfly,1265
71,Lymantria mathura subpallida,Animalia,Insecta,Erebidae,moth,1249
72,Genus Phazaca,Animalia,Insecta,Uraniidae,moth,1244
73,Hesudra divisa,Animalia,Insecta,Erebidae,moth,1234
74,Olene mendosa,Animalia,Insecta,Erebidae,moth,1232
75,Zanclopera falcata,Animalia,Insecta,Geometridae,moth,1231
76,Metaemene atrigutta,Animalia,Insecta,Erebidae,moth,1226
77,Genus Hydrillodes,Animalia,Insecta,Erebidae,moth,1211
78,Leptosia nina niobe,Animalia,Insecta,Pieridae,butterfly,1205
79,Hypolimnas bolina kezia,Animalia,Insecta,Nymphalidae,butterfly,1183
80,Erebus ephesperis,Animalia,Insecta,Erebidae,moth,1166
81,Euploea tulliolus koxinga,Animalia,Insecta,Nymphalidae,butterfly,1161
82,Genus Amata,Animalia,Insecta,Erebidae,moth,1160
83,Megisba malaya sikkima,Animalia,Insecta,Lycaenidae,butterfly,1152
84,Euproctis taiwana,Animalia,Insecta,Erebidae,moth,1147
85,Athyma selenophora laela,Animalia,Insecta,Nymphalidae,butterfly,1140
86,Marumba cristata,Animalia,Insecta,Sphingidae,moth,1135
87,Family Psychidae,Animalia,Insecta,Psychidae,moth,1129
88,Krananda semihyalina,Animalia,Insecta,Geometridae,moth,1128
89,Ypthima multistriata,Animalia,Insecta,Nymphalidae,butterfly,1126
90,Parantica aglea maghaba,Animalia,Insecta,Nymphalidae,butterfly,1106
91,Melanitis phedima polishana,Animalia,Insecta,Nymphalidae,butterfly,1105
92,Cupha erymanthis,Animalia,Insecta,Nymphalidae,butterfly,1099
93,Genus Ourapteryx,Animalia,Insecta,Geometridae,moth,1098
94,Prosotas nora formosana,Animalia,Insecta,Lycaenidae,butterfly,1062
95,Syntomoides imaon,Animalia,Insecta,Erebidae,moth,1054
96,Cusiala boarmioides,Animalia,Insecta,Geometridae,moth,1042
97,Jamides bochus formosanus,Animalia,Insecta,Lycaenidae,butterfly,1040
98,Papilio protenor protenor,Animalia,Insecta,Papilionidae,butterfly,1031
99,Lassaba parvalbidaria,Animalia,Insecta,Geometridae,moth,1022
100,Psilalcis breta,Animalia,Insecta,Geometridae,moth,1008
101,Macaria abydata,Animalia,Insecta,Geometridae,moth,1006
102,Nevrina procopia,Animalia,Insecta,Crambidae,moth,992
103,Family Lasiocampidae,Animalia,Insecta,Lasiocampidae,moth,983
104,Neurothemis taiwanensis,Animalia,Insecta,Libellulidae,odonata,981
105,Mycalesis zonata,Animalia,Insecta,Nymphalidae,butterfly,978
106,Genus Rivula,Animalia,Insecta,Erebidae,moth,978
107,Family Thyrididae,Animalia,Insecta,Thyrididae,moth,977
108,Ideopsis similis,Animalia,Insecta,Nymphalidae,butterfly,975
109,Family Lecithoceridae,Animalia,Insecta,Lecithoceridae,moth,970
110,Borbo cinnara,Animalia,Insecta,Hesperiidae,butterfly,963
111,Krananda oliveomarginata,Animalia,Insecta,Geometridae,moth,962
112,Genus Idaea,Animalia,Insecta,Geometridae,moth,941
113,Genus Condica,Animalia,Insecta,Noctuidae,moth,934
114,Lophobates inchoata,Animalia,Insecta,Geometridae,moth,930
115,Histia flabellicornis,Animalia,Insecta,Zygaenidae,moth,921
116,Arcte coerula,Animalia,Insecta,Noctuidae,moth,914
117,Family Nymphalidae,Animalia,Insecta,Nymphalidae,butterfly,903
118,Genus Cyana,Animalia,Insecta,Erebidae,moth,902
119,Psilalcis pulveraria,Animalia,Insecta,Geometridae,moth,901
120,Hypospila bolinoides,Animalia,Insecta,Erebidae,moth,901
121,Spoladea recurvalis,Animalia,Insecta,Crambidae,moth,897
122,Lebeda nobilis,Animalia,Insecta,Lasiocampidae,moth,894
